"species","code","longitude","latitude","source","locality.eflora","plot.lucas","elevation","Forest","Non.Forest","Alpine","coord_prec"
"Veronica odora","CHR 465643",168.323,-45.2885,"gbif",NA,NA,944.25,0,1,1,4
"Veronica odora",NA,167.5342,-45.2892,"gbif",NA,NA,1132.612671,0,1,1,4
"Veronica odora",NA,167.5341,-45.29,"gbif",NA,NA,1167.205566,0,1,1,4
"Veronica odora","CHR520394",167.662,-45.29037,"eflora","Takahe Valley, Murchison Mtns, Fiordland",NA,850.7863159,0,1,1,5
"Veronica odora","CHR 520394",167.662,-45.2904,"gbif",NA,NA,854.5184937,0,1,1,4
"Veronica odora","CHR 253784",167.671,-45.2937,"gbif",NA,NA,851.7035522,0,1,1,4
"Veronica odora","CHR253784",167.6708,-45.29373,"eflora","Fiordland, Lake Orbell",NA,851.8881226,0,1,1,5
"Veronica odora","CHR520390",167.586,-45.29437,"eflora","Mystery Burn, Murchison Mtns, Fiordland.",NA,994.0006714,0,1,1,5
"Veronica odora","CHR 520390",167.586,-45.296,"gbif",NA,NA,1071.067871,0,1,1,3
"Veronica odora","CHR465662",168.3297,-45.29686,"eflora","Southland; Eyre Mountains, Upper Von Valley, south side.",NA,1040,0,1,1,5
"Veronica odora","CHR 465662",168.33,-45.2969,"gbif",NA,NA,1037.94812,0,1,1,4
"Veronica odora",NA,167.6723,-45.298,"gbif",NA,NA,1068.883789,0,1,1,4
"Veronica odora","WELT.SP010138",167.6833333,-45.3,"eflora","Murchison Mountains, Takahe Valley, below Lake Orbell",NA,1051.362549,0,1,1,7
"Veronica odora","WELT.SP010139",167.6833333,-45.3,"eflora","Murchison Mountains, Takahe Valley, Lake Orbell",NA,1051.362549,0,1,1,7
"Veronica odora",NA,167.6686,-45.3004,"gbif",NA,NA,972.3248291,0,1,1,4
"Veronica odora","CHR261241",168.3253,-45.30389,"eflora","Head of Eyre Creek, Eyre Mountains, Southland",NA,1607.097046,0,1,1,5
"Veronica odora","CHR 261241",168.325,-45.3039,"gbif",NA,NA,1620.650269,0,1,1,4
"Veronica odora","985832",168.150878,-45.305606,"gbif",NA,NA,1285.086914,0,1,1,6
"Veronica odora","CHR468683",168.6135,-45.3088,"eflora","Otago, Eyre Mountains, Robert Creek",NA,652.0770874,0,1,1,4
"Veronica odora","CHR 468683",168.614,-45.3088,"gbif",NA,NA,634.1380615,0,1,1,4
"Veronica odora",NA,167.5933,-45.311,"gbif",NA,NA,1052.699097,0,1,1,4
"Veronica odora","WELT.SP010137",167.6407727,-45.3148878,"eflora","Murchison Mountains, Takahe Valley, head.",NA,1260,0,1,1,7
